,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Gross Wall Area [m2],Window Glass Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2],room,HVAC Input Sensible Air Heating [GJ],HVAC Input Sensible Air Cooling [GJ],HVAC Input Heated Surface Heating [GJ],HVAC Input Cooled Surface Cooling [GJ],People Sensible Heat Addition [GJ],Lights Sensible Heat Addition [GJ],Equipment Sensible Heat Addition [GJ],Window Heat Addition [GJ],Interzone Air Transfer Heat Addition [GJ],Infiltration Heat Addition [GJ],Opaque Surface Conduction and Other Heat Addition [GJ],Equipment Sensible Heat Removal [GJ],Window Heat Removal [GJ],Interzone Air Transfer Heat Removal [GJ],Infiltration Heat Removal [GJ],Opaque Surface Conduction and Other Heat Removal [GJ]
1F_CONF_VR1 THERMAL ZONE,35.86,Yes,Yes,160.65,1,113.16,101.85,11.8403,17.7,7.6424,1F_CONF_VR1 THERMAL ZONE,0.921,-31.345,0,0,1.471,4.945,4.681,26.969,0,0.698,3.167,0,-10.648,0,-0.859,0
1F_LOCKER_VR1 THERMAL ZONE,50.16,Yes,Yes,224.72,1,102.14,0,11.8403,17.7,7.6424,1F_LOCKER_VR1 THERMAL ZONE,0.153,-19.847,0,0,2.051,6.917,6.547,0,0,0.725,5.304,0,0,0,-1.851,0
1F_MLOBBY_VR1 THERMAL ZONE,146.28,Yes,Yes,655.33,1,249.76,134.47,11.8403,17.7,7.6424,1F_MLOBBY_VR1 THERMAL ZONE,1.558,-100.165,0,0,5.942,20.173,19.094,59.545,0,1.857,22.714,0,-27.017,0,-3.701,-0.001
1F_MUGAL_VR3 THERMAL ZONE,98.57,Yes,Yes,545.08,1,252.82,165,11.8403,17.7,7.6424,1F_MUGAL_VR3 THERMAL ZONE,1.982,-71.037,0,0,4.02,13.593,12.866,55.288,0,1.637,8.945,0,-24.802,0,-2.492,-0.001
2F_CONF_VR2 THERMAL ZONE,313.31,Yes,Yes,1792.11,1,379.61,177.39,11.8403,17.7,7.6424,2F_CONF_VR2 THERMAL ZONE,1.793,-174.883,0,0,12.708,43.207,40.896,63.428,0,4.135,53.693,0,-34.849,0,-10.127,0
2F_LIB_VR2 THERMAL ZONE,127.87,Yes,Yes,731.44,1,168.65,83.34,11.8403,17.7,7.6424,2F_LIB_VR2 THERMAL ZONE,0.832,-66.496,0,0,5.216,17.634,16.691,26.347,0,1.588,17.237,0,-15.51,0,-3.541,0
2F_MUGAL_VR3 THERMAL ZONE,129.96,Yes,Yes,743.37,1,260.83,209.1,11.8403,17.7,7.6424,2F_MUGAL_VR3 THERMAL ZONE,2.43,-83.38,0,0,5.319,17.922,16.964,48.017,0,2.244,20.996,0,-26.762,0,-3.751,-0.001
GF_BREAKRM_VR3 THERMAL ZONE,38.3,Yes,Yes,142.5,1,16.42,0,0, ,0,GF_BREAKRM_VR3 THERMAL ZONE,2.092,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.066
GF_OFF_VR3 THERMAL ZONE,42.88,Yes,Yes,137.2,1,6.14,0,0, ,0,GF_OFF_VR3 THERMAL ZONE,2.313,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.283
1F_STORE_MV THERMAL ZONE,39.67,No,Yes,219.39,1,152.02,0,0, ,0,1F_STORE_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F_WCPUB_MV THERMAL ZONE,24.2,No,Yes,108.42,1,68.99,0,0, ,0,1F_WCPUB_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F_SHOWER_MV THERMAL ZONE,61.37,No,Yes,351.04,1,179.48,0,0, ,0,2F_SHOWER_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F_WCPUB_MV THERMAL ZONE,20.64,No,Yes,118.05,1,137.71,0,0, ,0,2F_WCPUB_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_CORR_MV THERMAL ZONE,50.85,No,Yes,162.71,1,0,0,0, ,0,GF_CORR_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_PARKING_MV THERMAL ZONE,357.9,No,Yes,1521.09,1,116.2,0,0, ,0,GF_PARKING_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_PLANTRM_MV THERMAL ZONE,32.26,No,Yes,120.02,1,15.28,0,0, ,0,GF_PLANTRM_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_REFMECHRM_MV THERMAL ZONE,200.83,No,Yes,642.65,1,21.98,0,0, ,0,GF_REFMECHRM_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_STAIR_MV THERMAL ZONE,33.88,No,Yes,143.99,1,18.15,0,0, ,0,GF_STAIR_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_STORE_MV THERMAL ZONE,26.35,No,Yes,84.33,1,2.91,0,0, ,0,GF_STORE_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_TRASH_MV THERMAL ZONE,15.65,No,Yes,50.08,1,1.62,0,0, ,0,GF_TRASH_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF_WCPUB_MV THERMAL ZONE,18.3,No,Yes,58.56,1,3.85,0,0, ,0,GF_WCPUB_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIFT THERMAL ZONE,13.85,No,Yes,200.18,1,119.76,0,0, ,0,LIFT THERMAL ZONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0